id,Age
15000,6.0
15001,9.0
15002,6.0
15003,8.0
15004,6.0
15005,10.0
15006,12.0
15007,9.0
15008,6.0
15009,6.0
15010,8.0
15011,16.0
15012,10.0
15013,10.0
15014,13.0
15015,6.0
15016,8.0
15017,11.0
15018,8.0
15019,10.0
15020,10.0
15021,10.0
15022,10.0
15023,7.0
15024,13.0
15025,11.0
15026,13.0
15027,9.0
15028,9.0
15029,10.0
15030,9.0
15031,5.0
15032,8.0
15033,10.0
15034,12.0
15035,11.0
15036,10.0
15037,18.0
15038,11.0
15039,12.0
15040,8.0
15041,11.0
15042,11.0
15043,7.0
15044,7.0
15045,9.0
15046,8.0
15047,17.0
15048,9.0
15049,9.0
15050,9.0
15051,8.0
15052,9.0
15053,14.0
15054,10.0
15055,8.0
15056,10.0
15057,10.0
15058,10.0
15059,9.0
15060,11.0
15061,16.0
15062,7.0
15063,8.0
15064,15.0
15065,8.0
15066,6.0
15067,8.0
15068,9.0
15069,11.0
15070,11.0
15071,11.0
15072,8.0
15073,10.0
15074,10.0
15075,9.0
15076,10.0
15077,11.0
15078,10.0
15079,11.0
15080,8.0
15081,9.0
15082,10.0
15083,10.0
15084,10.0
15085,8.0
15086,11.0
15087,11.0
15088,11.0
15089,8.0
15090,10.0
15091,10.0
15092,9.0
15093,14.0
15094,11.0
15095,9.0
15096,10.0
15097,8.0
15098,12.0
15099,8.0
15100,9.0
15101,11.0
15102,7.0
15103,10.0
15104,8.0
15105,11.0
15106,11.0
15107,8.0
15108,7.0
15109,7.0
15110,9.0
15111,9.0
15112,11.0
15113,8.0
15114,11.0
15115,11.0
15116,10.0
15117,10.0
15118,9.0
15119,8.0
15120,10.0
15121,4.0
15122,10.0
15123,15.0
15124,10.0
15125,7.0
15126,7.0
15127,10.0
15128,5.0
15129,12.0
15130,13.0
15131,14.0
15132,17.0
15133,12.0
15134,14.0
15135,8.0
15136,11.0
15137,16.0
15138,10.0
15139,11.0
15140,9.0
15141,9.0
15142,8.0
15143,8.0
15144,8.0
15145,13.0
15146,10.0
15147,11.0
15148,6.0
15149,7.0
15150,12.0
15151,13.0
15152,12.0
15153,7.0
15154,9.0
15155,9.0
15156,9.0
15157,12.0
15158,10.0
15159,11.0
15160,7.0
15161,13.0
15162,7.0
15163,10.0
15164,7.0
15165,9.0
15166,9.0
15167,8.0
15168,12.0
15169,8.0
15170,9.0
15171,11.0
15172,7.0
15173,13.0
15174,10.0
15175,13.0
15176,11.0
15177,8.0
15178,8.0
15179,11.0
15180,9.0
15181,6.0
15182,7.0
15183,8.0
15184,9.0
15185,10.0
15186,10.0
15187,10.0
15188,8.0
15189,15.0
15190,11.0
15191,10.0
15192,9.0
15193,11.0
15194,9.0
15195,11.0
15196,10.0
15197,14.0
15198,9.0
15199,10.0
15200,8.0
